source_aquifer_code,source_aquifer_name,display_aquifer_id,allocation_weight,crosswalk_method,crosswalk_notes,reviewer_note
N300WYTRTR,Wyoming Tertiary aquifers,wyoming_tertiary_aquifers,1.0,county_footprint_fallback,"No standalone polygon was available in the USGS principal-aquifer shapefile, so the display layer uses a county-footprint fallback built from 2015 county boundaries carrying withdrawal rows for this source aquifer.",Review county-footprint fallback before any local-scale interpretation.
N400ABKSMP,Arbuckle-Simpson aquifer,arbuckle_simpson_aquifer,1.0,usgs_principal_aquifer_polygon,,
N400BISCYN,Biscayne aquifer,biscayne_aquifer,1.0,usgs_principal_aquifer_polygon,,
N400BLAINE,Blaine aquifer,blaine_aquifer,1.0,usgs_principal_aquifer_polygon,,
N400BSNRGC,Basin and Range carbonate-rock aquifers,basin_and_range_carbonate_rock_aquifers,1.0,usgs_principal_aquifer_polygon,,
N400CSLHYN,Castle Hayne aquifer,castle_hayne_aquifer,1.0,usgs_principal_aquifer_polygon,,
N400KNGSHL,Kingshill aquifer (Virgin Islands),kingshill_aquifer,1.0,usgs_principal_aquifer_polygon,Mapped source label 'Kingshill aquifer (Virgin Islands)' to display geometry label 'Kingshill aquifer'.,Display label normalized to the published geometry label.
N400NCSTLM,North Coast Limestone aquifer system (Puerto Rico),puerto_rico_north_coast_limestone_aquifer_system,1.0,usgs_principal_aquifer_polygon,Mapped source label 'North Coast Limestone aquifer system (Puerto Rico)' to display geometry label 'Puerto Rico North Coast Limestone aquifer system'.,Display label normalized to the published geometry label.
N400NYNECB,New York and New England carbonate-rock aquifers,new_york_and_new_england_carbonate_rock_aquifers,1.0,usgs_principal_aquifer_polygon,,
N400ORDVCN,Ordovician aquifers,ordovician_aquifers,1.0,usgs_principal_aquifer_polygon,,
N400PDMBRC,Piedmont and Blue Ridge carbonate-rock aquifers,piedmont_and_blue_ridge_carbonate_rock_aquifers,1.0,usgs_principal_aquifer_polygon,,
N400PDMBRX,Piedmont and Blue Ridge crystalline-rock aquifers,piedmont_and_blue_ridge_crystalline_rock_aquifers,1.0,usgs_principal_aquifer_polygon,,
N400SLRDVN,Silurian-Devonian aquifers,silurian_devonian_aquifers,1.0,usgs_principal_aquifer_polygon,,
N400UPCRBN,Upper carbonate aquifer,upper_carbonate_aquifer,1.0,usgs_principal_aquifer_polygon,,
N500MSSPPI,Mississippian aquifers,mississippian_aquifers,1.0,usgs_principal_aquifer_polygon,,
N500PLOZOC,Paleozoic aquifers,paleozoic_aquifers,1.0,usgs_principal_aquifer_polygon,,
N500VLYRDG,Valley and Ridge aquifers,valley_and_ridge_aquifers,1.0,usgs_principal_aquifer_polygon,,
N600CMBPLV,Columbia Plateau basaltic-rock aquifers,columbia_plateau_basaltic_rock_aquifers,1.0,usgs_principal_aquifer_polygon,,
N600HIVLCC,Hawaii volcanic-rock aquifers,hawaiian_volcanic_rock_aquifers,1.0,usgs_principal_aquifer_polygon,Mapped source label 'Hawaii volcanic-rock aquifers' to display geometry label 'Hawaiian Volcanic-rock aquifers'.,Display label normalized to the published geometry label.
N600NECRSN,New York and New England crystalline-rock aquifers,new_york_and_new_england_crystalline_rock_aquifers,1.0,county_footprint_fallback,"No standalone polygon was available in the USGS principal-aquifer shapefile, so the display layer uses a county-footprint fallback built from 2015 county boundaries carrying withdrawal rows for this source aquifer.",Review county-footprint fallback before any local-scale interpretation.
N600SKRVPB,Snake River Plain basin-fill aquifers,snake_river_plain_basin_fill_aquifers,1.0,usgs_principal_aquifer_polygon,,
N600SKRVPV,Snake River Plain basaltic-rock aquifers,snake_river_plain_basaltic_rock_aquifers,1.0,usgs_principal_aquifer_polygon,,
N600SRNVDV,Southern Nevada volcanic-rock aquifers,southern_nevada_volcanic_rock_aquifers,1.0,usgs_principal_aquifer_polygon,,
N9999OTHER,Other aquifers,excluded_other_aquifers_bucket,1.0,excluded_other_aquifers_residual_bucket,Residual 'Other aquifers' rows remain excluded from the public map because they do not identify a single principal aquifer.,
S100CNRLVL,Central Valley aquifer system,central_valley_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S100CSLLWD,Coastal lowlands aquifer system,coastal_lowlands_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S100MSEMBM,Mississippi embayment aquifer system,mississippi_embayment_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S100NATLCP,Northern Atlantic Coastal Plain aquifer system,northern_atlantic_coastal_plain_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S100NRMTIB,Northern Rocky Mountains Intermontane Basins aquifer systems,northern_rocky_mountains_intermontane_basins_aquifer_system,1.0,usgs_principal_aquifer_polygon,Mapped source label 'Northern Rocky Mountains Intermontane Basins aquifer systems' to display geometry label 'Northern Rocky Mountains Intermontane Basins aquifer system'.,Display label normalized to the published geometry label.
S100PGTSND,Puget Sound aquifer system,puget_sound_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S100RIOGRD,Rio Grande aquifer system,rio_grande_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S100SECSLP,Southeastern Coastal Plain aquifer system,southeastern_coastal_plain_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S100SURFCL,Surficial aquifer system,surficial_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S100TXCLUP,Texas coastal uplands aquifer system,texas_coastal_uplands_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S300CAMORD,Cambrian-Ordovician aquifer system,cambrian_ordovician_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S300DNVRBS,Denver Basin aquifer system,denver_basin_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S400FLORDN,Floridan aquifer system,floridan_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S400OZRKPL,Ozark Plateaus aquifer system,ozark_plateaus_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S400RSWLBS,Roswell Basin aquifer system,roswell_basin_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S500EDRTRN,Edwards-Trinity aquifer system,edwards_trinity_aquifer_system,1.0,usgs_principal_aquifer_polygon,,
S500INTRMD,Intermediate aquifer system,intermediate_aquifer_system,1.0,county_footprint_fallback,"No standalone polygon was available in the USGS principal-aquifer shapefile, so the display layer uses a county-footprint fallback built from 2015 county boundaries carrying withdrawal rows for this source aquifer.",Review county-footprint fallback before any local-scale interpretation.
